check,train_fraction,missing_rate,noise_scale_sd_units,n_runs,mean_rmse,std_rmse,mean_r2,std_r2,mean_mae,std_mae
bootstrap,,,,5,4.088328226575997,0.8059757918771119,0.9160100166567438,0.027715552674803908,2.973907174578126,0.40881195088020134
data_size,0.4,,,3,8.071749122270969,2.4726680908638956,0.4297356493342523,0.40817624735135477,5.761245296134963,1.5925925600682918
data_size,0.6,,,3,6.460171191908523,1.8498967918074782,0.7850908085649725,0.08560981282219748,4.882649012746772,1.1724161770744361
data_size,0.8,,,3,4.892721343253676,0.5362528515886267,0.841057634179803,0.10637111933617058,3.768958887464494,0.47075050709253885
data_size,1.0,,,3,5.081541722888747,0.7542206536243102,0.8966842675488834,0.02060689673803632,4.101537319796745,0.5255175940168628
missing_data,,0.1,,3,7.8364674168669515,1.8029208851445442,0.7073493103774036,0.0826961447014555,5.552682622111939,0.7178308949966551
missing_data,,0.2,,3,7.765860524446622,0.4786712253751835,0.7075028029260517,0.06404638040825365,5.8941893346903855,0.36206096507685637
missing_data,,0.3,,3,9.357248125259291,1.3636713020579927,0.5872742113666009,0.021433302632781547,6.874154921597558,1.1881630339007003
perturbation,,,0.025,3,5.691572363083895,0.9618705856823334,0.847649688158005,0.01736041558200456,4.268914440714066,0.6437827714739703
perturbation,,,0.05,3,6.185877336447146,1.1569055632992737,0.8209509932733243,0.018324698616126744,4.585530635271943,0.6053269697794538
perturbation,,,0.1,3,6.78296400036168,1.1157390209266442,0.7831543566394452,0.021791034181300725,4.756605797017584,0.4533541165083822
